,Brand,Title,Name,Price,Rating,URL,Description,Clean_Text
28,EyeBogler,Men Solid Polo Neck Navy Blue T-Shirt,EyeBogler Solid Men Polo Neck Navy Blue T-Shirt,279.0,3.8,https://www.flipkart.com/eyebogler-solid-men-polo-neck-navy-blue-t-shirt/p/itmd6b194366dd4e,EyeBogler Solid Men Polo Neck Navy Blue T-Shirt Men Solid Polo Neck Navy Blue T-Shirt,polo solid neck navi blue eyebogl men tshirt
29,ADIDAS,Men Solid Round Neck Grey T-Shirt,ADIDAS Solid Men Round Neck Grey T-Shirt,449.0,3.7,https://www.flipkart.com/adidas-solid-men-round-neck-grey-t-shirt/p/itm832b68420d2f1,ADIDAS Solid Men Round Neck Grey T-Shirt Men Solid Round Neck Grey T-Shirt,adida solid neck round grey men tshirt
30,Polo Plus,Men Typography Round Neck Maroon T-Shirt,Polo Plus Typography Men Round Neck Maroon T-Shirt,329.0,3.9,https://www.flipkart.com/polo-plus-typography-men-round-neck-maroon-t-shirt/p/itm34fa6a031d2bd,Polo Plus Typography Men Round Neck Maroon T-Shirt Men Typography Round Neck Maroon T-Shirt,polo neck round maroon typographi men tshirt plu
31,Diversify,Men Striped Round Neck Grey T-Shirt,Diversify Striped Men Round Neck Grey T-Shirt,319.0,4.0,https://www.flipkart.com/diversify-striped-men-round-neck-grey-t-shirt/p/itm5c7e685fb7bc1,Diversify Striped Men Round Neck Grey T-Shirt Men Striped Round Neck Grey T-Shirt,diversifi neck round grey stripe men tshirt
32,3BROS,Men Graphic Print Round Neck Blue T-Shirt,3BROS Graphic Print Men Round Neck Blue T-Shirt,199.0,4.0,https://www.flipkart.com/3bros-graphic-print-men-round-neck-blue-t-shirt/p/itm9841517f4ebe4,3BROS Graphic Print Men Round Neck Blue T-Shirt Men Graphic Print Round Neck Blue T-Shirt,graphic neck round blue men print tshirt
33,TRIPR,"Men Solid Round Neck Maroon, White T-Shirt","TRIPR Solid Men Round Neck Maroon, White T-Shirt",269.0,3.8,https://www.flipkart.com/tripr-solid-men-round-neck-maroon-white-t-shirt/p/itm027b8fc761979,"TRIPR Solid Men Round Neck Maroon, White T-Shirt Men Solid Round Neck Maroon, White T-Shirt",solid neck tripr round maroon white men tshirt
34,NB NICKY BOY,Men Printed Round Neck Black T-Shirt,NB NICKY BOY Printed Men Round Neck Black T-Shirt,239.0,3.9,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm310d4eb7698a1,NB NICKY BOY Printed Men Round Neck Black T-Shirt Men Printed Round Neck Black T-Shirt,neck print round nb boy black men tshirt nicki
35,Urbano Plus,Men Solid Mandarin Collar Dark Green T-Shirt,Urbano Plus Solid Men Mandarin Collar Dark Green T-Shirt,499.0,4.1,https://www.flipkart.com/urbano-plus-solid-men-mandarin-collar-dark-green-t-shirt/p/itm4d2577c96d835,Urbano Plus Solid Men Mandarin Collar Dark Green T-Shirt Men Solid Mandarin Collar Dark Green T-Shirt,solid collar mendarin green urbano men tshirt plu dark
36,KAJARU,"Pack of 2 Men Striped Round Neck Light Blue, Black T-Shirt","KAJARU Striped Men Round Neck Light Blue, Black T-Shirt",389.0,4.0,https://www.flipkart.com/kajaru-striped-men-round-neck-light-blue-black-t-shirt/p/itmc2ee24b5e7b09,"KAJARU Striped Men Round Neck Light Blue, Black T-Shirt Pack of 2 Men Striped Round Neck Light Blue, Black T-Shirt",neck light pack round kajaru blue stripe black men tshirt
37,EyeBogler,Men Typography Round Neck Blue T-Shirt,EyeBogler Typography Men Round Neck Blue T-Shirt,289.0,3.8,https://www.flipkart.com/eyebogler-typography-men-round-neck-blue-t-shirt/p/itm4989940bf6328,EyeBogler Typography Men Round Neck Blue T-Shirt Men Typography Round Neck Blue T-Shirt,neck round typographi blue eyebogl men tshirt
